PlaceID,FacilityName,Latitude,Longitude,StreetAddress,City,County,ZipCode,RegionalWaterBoard,OperationalYear,ShutdownYear,DataSource,CADDID,Year,MilkCows,DryCows,OldHeifers,YoungHeifers,OldCalves,YoungCalves,BeefCattle,TotalHerdSize,MilkCowsHerdSizeRefCode,NonMilkingCattleHerdSizeRefCode,LabeledAsDairy
201050,O & S Holsteins,33.8202,-117.0346,1970 N Warren Road,San Jacinto,Riverside,92582,8,#N/A,#N/A,#N/A,10001,2023,1175,200,288,212,390,185,0,2450,1,1,1
201891,PH Ranch #3,37.452,-120.5881,11586 North Shaffer Road,Winton,Merced,95388,5S,#N/A,#N/A,#N/A,10002,2023,450,0,25,0,0,0,0,475,1,1,1
202297,3 Brand Cattle Company,35.4996,-119.1058,34377 Lerdo Hwy,Bakersfield,Kern,93308,5F,#N/A,#N/A,#N/A,11793,2023,0,0,0,0,0,0,35982,35982,1,1,0
202572,J & J DeRaadt Dairy,37.7319,-120.8095,6460 Smith Road,Oakdale,Stanislaus,95361,5S,#N/A,#N/A,#N/A,10003,2023,950,140,200,400,250,0,0,1940,1,1,1
202610,4-H Calf Ranch,33.9973,-117.6033,9200 Edison Avenue,Ontario,San Bernardino,91762,8,#N/A,#N/A,#N/A,10004,2023,0,0,0,0,3675,825,0,4500,1,1,0
203875,Former E & D Azevedo Dairy,37.0437,-120.2296,17493 Avenue 20,Madera,Madera,93637,5F,#N/A,#N/A,#N/A,10005,2023,0,0,0,0,0,0,0,0,2a,2e,0
203907,A & M De Sousa Dairy,37.4656,-120.9558,3030 South Central Avenue,Turlock,Stanislaus,95380,5S,#N/A,#N/A,#N/A,10006,2023,1212,275,210,430,280,30,0,2437,1,1,1
203909,A & L Dairy,36.2251,-119.4708,23863 Road 48,Tulare,Tulare,93274,5F,#N/A,#N/A,#N/A,10007,2023,497,45,97,0,0,0,0,639,1,1,1
203928,M4 Farms Feedlot,36.064,-119.3657,9225 Avenue 152,Tipton,Tulare,93272,5F,#N/A,#N/A,#N/A,10008,2023,0,0,722,2006,0,0,0,2728,1,1,0
203931,"J and A Dairy, LLC",36.2344,-119.7801,16283 18th Avenue,Lemoore,Kings,93245,5F,#N/A,#N/A,#N/A,10009,2023,585,58,390,175,0,0,0,1208,1,1,1
203936,Silveira Dairy,37.062,-120.3441,11277 Avenue 21 1/2,Chowchilla,Madera,93610,5F,#N/A,#N/A,#N/A,10010,2023,1338,100,439,381,192,0,0,2450,1,1,1
203938,A.T.O. Dairy,36.4573,-119.826,19249 South Fruit Avenue,Riverdale,Fresno,93656,5F,#N/A,#N/A,#N/A,10011,2023,850,100,350,300,150,0,0,1750,1,1,1
203994,former A O DAIRY,36.63447167,-119.8625206,6949 South Brawley Avenue,Fresno,Fresno,93706,5F,#N/A,#N/A,#N/A,11902,2023,0,0,0,0,0,0,0,0,2a,2e,0
204110,Daniel Brazil Dairy,36.3508,-119.7858,18280 Fairfax Avenue,Lemoore,Kings,93245,5F,#N/A,#N/A,#N/A,10012,2023,500,75,105,175,70,5,0,930,1,1,1
204133,River Valley Dairy,36.4061,-119.8858,22700 South Cornelia Avenue,Riverdale,Fresno,93656,5F,#N/A,#N/A,#N/A,10013,2023,1348,156,565,660,337,0,0,3066,1,1,1
